195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img18.gif HTTP/1.1" 200 1747
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img20.gif HTTP/1.1" 200 1076
195.67.108.14 - - [08/Aug/2000:13:19:14 +0200] "GET /~dhtml/img21.gif HTTP/1.1" 200 2234
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/page2.html HTTP/1.1" 200 4525
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/img6.gif HTTP/1.1" 200 5675
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/img7.gif HTTP/1.1" 200 2815
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/img8.gif HTTP/1.1" 200 2402
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/img9.gif HTTP/1.1" 200 3027
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/img10.gif HTTP/1.1" 200 10774
195.67.108.14 - - [08/Aug/2000:13:19:35 +0200] "GET /~dhtml/img11.gif HTTP/1.1" 200 3074
212.75.67.35 - - [09/Aug/2000:00:14:04 +0200] "GET /~dhtml HTTP/1.1" 301 314
212.75.67.35 - - [09/Aug/2000:00:14:05 +0200] "GET /~dhtml/ HTTP/1.1" 200 7502
212.75.67.35 - - [09/Aug/2000:00:14:05 +0200] "GET /~dhtml/back.gif HTTP/1.1" 200 1307
212.75.67.35 - - [09/Aug/2000:00:14:06 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 200 56
212.75.67.35 - - [09/Aug/2000:00:14:07 +0200] "GET /~dhtml/img0.gif HTTP/1.1" 200 6835
212.75.67.35 - - [09/Aug/2000:00:14:07 +0200] "GET /~dhtml/img1.gif HTTP/1.1" 200 7216
212.75.67.35 - - [09/Aug/2000:00:14:09 +0200] "GET /~dhtml/img2.gif HTTP/1.1" 200 2820
212.75.67.35 - - [09/Aug/2000:00:14:12 +0200] "GET /~dhtml/img3.gif HTTP/1.1" 200 1805
212.75.67.35 - - [09/Aug/2000:00:14:12 +0200] "GET /~dhtml/img4.gif HTTP/1.1" 200 2253
212.75.67.35 - - [09/Aug/2000:00:14:13 +0200] "GET /~dhtml/img5.gif HTTP/1.1" 200 5348
212.75.67.35 - - [09/Aug/2000:00:14:31 +0200] "GET /~dhtml/index.html HTTP/1.1" 200 7502
212.75.67.35 - - [09/Aug/2000:00:14:35 +0200] "GET /~dhtml/page2.html HTTP/1.1" 200 4525
212.75.67.35 - - [09/Aug/2000:00:14:35 +0200] "GET /~dhtml/img6.gif HTTP/1.1" 200 5675
212.75.67.35 - - [09/Aug/2000:00:14:36 +0200] "GET /~dhtml/img7.gif HTTP/1.1" 200 2815
212.75.67.35 - - [09/Aug/2000:00:14:38 +0200] "GET /~dhtml/img8.gif HTTP/1.1" 200 2402
212.75.67.35 - - [09/Aug/2000:00:14:38 +0200] "GET /~dhtml/img9.gif HTTP/1.1" 200 3027
212.75.67.35 - - [09/Aug/2000:00:14:39 +0200] "GET /~dhtml/img10.gif HTTP/1.1" 200 10774
212.75.67.35 - - [09/Aug/2000:00:14:40 +0200] "GET /~dhtml/img11.gif HTTP/1.1" 200 3074
212.75.67.35 - - [09/Aug/2000:00:14:56 +0200] "GET /~dhtml/laborationer/lab2.doc HTTP/1.1" 200 22016
212.75.67.35 - - [09/Aug/2000:00:15:16 +0200] "GET /~dhtml/laborationer/lab2.doc HTTP/1.1" 200 22016
212.111.41.145 - - [09/Aug/2000:03:11:22 +0200] "GET //~dhtml/page5.html HTTP/1.0" 404 282
212.111.41.145 - - [09/Aug/2000:03:12:40 +0200] "GET //~dhtml/page3.html HTTP/1.0" 404 282
212.111.41.145 - - [09/Aug/2000:03:16:27 +0200] "GET //~dhtml/ HTTP/1.0" 404 272
212.111.41.145 - - [09/Aug/2000:03:44:56 +0200] "GET //~dhtml/page4.html HTTP/1.0" 404 282
10.14.1.57 - - [09/Aug/2000:10:33:09 +0200] "GET /~dhtml HTTP/1.1" 301 314
10.14.1.57 - - [09/Aug/2000:10:33:09 +0200] "GET /~dhtml/ HTTP/1.1" 200 7502
10.14.1.57 - - [09/Aug/2000:10:33:09 +0200] "GET /~dhtml/back.gif HTTP/1.1" 200 1307
10.14.1.57 - - [09/Aug/2000:10:33:09 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 200 56
10.14.1.57 - - [09/Aug/2000:10:33:10 +0200] "GET /~dhtml/img0.gif HTTP/1.1" 200 6835
10.14.1.57 - - [09/Aug/2000:10:33:10 +0200] "GET /~dhtml/img1.gif HTTP/1.1" 200 7216
10.14.1.57 - - [09/Aug/2000:10:33:10 +0200] "GET /~dhtml/img2.gif HTTP/1.1" 200 2820
10.14.1.57 - - [09/Aug/2000:10:33:10 +0200] "GET /~dhtml/img3.gif HTTP/1.1" 200 1805
10.14.1.57 - - [09/Aug/2000:10:33:10 +0200] "GET /~dhtml/img4.gif HTTP/1.1" 200 2253
10.14.1.57 - - [09/Aug/2000:10:33:10 +0200] "GET /~dhtml/img5.gif HTTP/1.1" 200 5348
10.14.1.57 - - [09/Aug/2000:10:33:14 +0200] "GET /~dhtml/page5.html HTTP/1.1" 200 6298
10.14.1.57 - - [09/Aug/2000:10:33:14 +0200] "GET /~dhtml/img28.gif HTTP/1.1" 200 5528
10.14.1.57 - - [09/Aug/2000:10:33:14 +0200] "GET /~dhtml/img29.gif HTTP/1.1" 200 2008
10.14.1.57 - - [09/Aug/2000:10:33:14 +0200] "GET /~dhtml/img30.gif HTTP/1.1" 200 2823
10.14.1.57 - - [09/Aug/2000:10:33:14 +0200] "GET /~dhtml/img21.gif HTTP/1.1" 200 2234
10.14.1.57 - - [09/Aug/2000:10:33:17 +0200] "GET /~dhtml/db.doc HTTP/1.1" 200 55808
10.14.1.57 - - [09/Aug/2000:10:33:28 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
10.14.1.57 - - [09/Aug/2000:10:33:30 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
10.14.1.57 - - [09/Aug/2000:10:34:31 +0200] "OPTIONS /~dhtml HTTP/1.1" 301 314
10.14.1.57 - - [09/Aug/2000:10:34:31 +0200] "OPTIONS /~dhtml/db.doc HTTP/1.1" 200 -
212.151.117.200 - - [09/Aug/2000:12:00:03 +0200] "GET /~dhtml HTTP/1.1" 301 314
212.151.117.200 - - [09/Aug/2000:12:00:03 +0200] "GET /~dhtml/ HTTP/1.1" 200 7502
212.151.117.200 - - [09/Aug/2000:12:00:04 +0200] "GET /~dhtml/back.gif HTTP/1.1" 200 1307
212.151.117.200 - - [09/Aug/2000:12:00:05 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 200 56
212.151.117.200 - - [09/Aug/2000:12:00:05 +0200] "GET /~dhtml/img0.gif HTTP/1.1" 200 6835
212.151.117.200 - - [09/Aug/2000:12:00:05 +0200] "GET /~dhtml/img1.gif HTTP/1.1" 200 7216
212.151.117.200 - - [09/Aug/2000:12:00:08 +0200] "GET /~dhtml/img2.gif HTTP/1.1" 200 2820
212.151.117.200 - - [09/Aug/2000:12:00:08 +0200] "GET /~dhtml/img3.gif HTTP/1.1" 200 1805
212.151.117.200 - - [09/Aug/2000:12:00:10 +0200] "GET /~dhtml/page5.html HTTP/1.1" 200 6298
212.151.117.200 - - [09/Aug/2000:12:00:11 +0200] "GET /~dhtml/img28.gif HTTP/1.1" 200 5528
212.151.117.200 - - [09/Aug/2000:12:00:11 +0200] "GET /~dhtml/img29.gif HTTP/1.1" 200 2008
212.151.117.200 - - [09/Aug/2000:12:00:12 +0200] "GET /~dhtml/img30.gif HTTP/1.1" 200 2823
212.151.117.200 - - [09/Aug/2000:12:00:13 +0200] "GET /~dhtml/img21.gif HTTP/1.1" 200 2234
212.151.117.200 - - [09/Aug/2000:12:00:32 +0200] "GET /~dhtml/perl.doc HTTP/1.1" 200 73216
